OrderItemID,OrderID,ProductID,Quantity,PricePerUnit,CustomerID,OrderDate,TotalAmount,ProductName,Category,Returns,CampaignID,CampaignName,Revenue,ReturnRate
ITEM-1,ORD-50001,PROD-124,2,4109.98,CUST-1771,2025-12-22,26456.27,A Man Called Ove,Books,0.0,CAMP-215,New Year Blast,8219.96,0.0
ITEM-1,ORD-50001,PROD-124,2,4109.98,CUST-1771,2025-12-22,26456.27,A Man Called Ove,Books,0.0,CAMP-205,New Year Blast,8219.96,0.0
ITEM-2,ORD-50001,PROD-115,3,6078.77,CUST-1771,2025-12-22,26456.27,Air Fryer,Home & Kitchen,0.0,CAMP-215,New Year Blast,18236.31,0.0
ITEM-2,ORD-50001,PROD-115,3,6078.77,CUST-1771,2025-12-22,26456.27,Air Fryer,Home & Kitchen,0.0,CAMP-205,New Year Blast,18236.31,0.0
ITEM-3,ORD-50002,PROD-127,3,8800.38,CUST-1401,2023-11-07,65683.47,Camping Tent,Sports & Outdoors,0.0,CAMP-211,Diwali Bonanza,26401.14,0.0
ITEM-4,ORD-50002,PROD-105,3,9716.4,CUST-1401,2023-11-07,65683.47,4K TV,Electronics,0.0,CAMP-211,Diwali Bonanza,29149.199999999997,0.0
ITEM-5,ORD-50002,PROD-104,3,3377.71,CUST-1401,2023-11-07,65683.47,Smartwatch,Electronics,0.0,CAMP-211,Diwali Bonanza,10133.130000000001,0.0
ITEM-6,ORD-50003,PROD-105,1,9716.4,CUST-1682,2024-03-07,9716.4,4K TV,Electronics,0.0,CAMP-207,New Year Blast,9716.4,0.0
ITEM-7,ORD-50004,PROD-110,3,9584.97,CUST-1030,2023-11-05,62102.67,Formal Shirt,Apparel,0.0,CAMP-208,Diwali Bonanza,28754.909999999996,0.0
ITEM-8,ORD-50004,PROD-107,3,4611.28,CUST-1030,2023-11-05,62102.67,Men's T-Shirt,Apparel,0.0,CAMP-208,Diwali Bonanza,13833.84,0.0
ITEM-9,ORD-50004,PROD-127,1,8800.38,CUST-1030,2023-11-05,62102.67,Camping Tent,Sports & Outdoors,0.0,CAMP-208,Diwali Bonanza,8800.38,0.0
ITEM-10,ORD-50004,PROD-101,2,5356.77,CUST-1030,2023-11-05,62102.67,Smartphone,Electronics,0.0,CAMP-208,Diwali Bonanza,10713.54,0.0
ITEM-11,ORD-50005,PROD-117,3,8108.37,CUST-1131,2023-01-21,39054.08,Robot Vacuum,Home & Kitchen,0.0,,,24325.11,0.0
